time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.565115,0.0086,0.0034,-0.0032,0.010
1.570667,0.0276,-0.0108,-0.0079,0.031
1.576401,-0.0059,0.0129,0.0064,0.016
1.580038,0.0083,0.0129,-0.0031,0.016
1.585096,0.0082,0.0319,-0.0079,0.034
1.590637,-0.0108,-0.0111,-0.0078,0.017
1.594993,0.0177,0.0033,0.0065,0.019
1.601233,0.0034,0.0082,-0.0125,0.015
1.604929,0.0081,0.0129,-0.0124,0.020
1.609967,0.0032,0.0080,-0.0076,0.011
1.614979,0.0125,0.0126,-0.0028,0.018
1.620245,0.0078,0.0126,-0.0027,0.015
1.624976,0.0029,-0.0016,-0.0122,0.013
1.630056,0.0171,-0.0016,-0.0074,0.019
1.637026,0.0075,0.0222,-0.0073,0.025
1.639998,-0.0067,0.0125,-0.0167,0.022
1.650313,0.0028,-0.0208,0.0024,0.021
1.651015,0.0027,0.0031,0.0071,0.008
1.654808,0.0075,-0.0111,0.0118,0.018
1.659893,0.0171,0.0174,0.0022,0.024
1.665460,0.0170,-0.0063,0.0117,0.022
1.670018,0.0216,0.0034,-0.0074,0.023
1.674855,-0.0022,0.0224,0.0069,0.024
1.680426,-0.0071,0.0223,-0.0121,0.026
1.684768,0.0167,0.0128,0.0022,0.021
1.689913,0.0118,0.0080,-0.0168,0.022
1.694729,-0.0073,0.0079,-0.0261,0.028
1.699782,0.0069,0.0079,-0.0069,0.013
1.704790,-0.0168,-0.0062,0.0074,0.019
1.710057,-0.0168,-0.0061,0.0121,0.022
1.714742,-0.0071,-0.0013,0.0025,0.008
1.719871,0.0118,0.0034,-0.0023,0.013
1.724698,-0.0215,0.0033,0.0025,0.022
1.729785,0.0072,-0.0204,-0.0166,0.027
1.737329,-0.0023,0.0082,0.0073,0.011
1.740063,0.0215,0.0130,0.0025,0.025
1.750141,0.0023,-0.0012,0.0120,0.012
1.750869,-0.0073,0.0177,-0.0071,0.020
1.754674,-0.0025,-0.0060,-0.0070,0.010
1.760217,0.0118,0.0130,0.0073,0.019
1.768624,-0.0121,-0.0013,0.0072,0.014
1.769698,-0.0166,0.0083,0.0024,0.019
1.774706,0.0026,0.0225,-0.0166,0.028
1.779762,0.0026,0.0034,0.0025,0.005
1.785233,-0.0258,0.0082,0.0120,0.030
1.789854,-0.0114,0.0320,-0.0213,0.040
1.794447,0.0029,0.0033,0.0073,0.009
1.799781,0.0028,0.0129,-0.0022,0.013
1.804581,-0.0068,0.0224,-0.0165,0.029
1.810243,0.0360,-0.0157,-0.0116,0.041
1.814663,0.0261,0.0082,0.0075,0.028
1.819483,-0.0120,0.0035,0.0170,0.021
1.824497,0.0119,0.0082,-0.0069,0.016
1.829797,-0.0072,0.0035,-0.0116,0.014
1.837743,0.0119,-0.0058,-0.0258,0.029
1.839664,0.0355,0.0132,-0.0160,0.041
1.852459,-0.0075,-0.0011,-0.0112,0.013
1.853292,-0.0218,0.0086,0.0127,0.027
1.854388,-0.0215,0.0038,0.0126,0.025
1.860175,0.0024,0.0180,0.0125,0.022
1.864812,0.0119,0.0084,-0.0114,0.019
1.869313,-0.0167,-0.0012,0.0030,0.017
1.874419,0.0024,-0.0012,0.0314,0.032
1.879480,0.0119,-0.0010,-0.0021,0.012
1.885333,-0.0214,0.0085,0.0074,0.024
1.889522,-0.0070,0.0179,0.0169,0.026
1.894181,-0.0259,0.0084,-0.0165,0.032
1.899248,0.0028,0.0037,-0.0069,0.008
1.904508,0.0075,0.0037,-0.0116,0.014
1.910852,0.0170,0.0085,0.0123,0.023
1.914577,0.0168,-0.0059,0.0122,0.022
1.919423,-0.0119,0.0037,0.0263,0.029
1.924202,0.0120,0.0132,0.0024,0.018
1.929557,-0.0164,0.0179,0.0024,0.024
1.937793,-0.0067,-0.0060,-0.0167,0.019
1.939480,0.0220,-0.0060,0.0120,0.026
1.949008,-0.0113,-0.0106,-0.0166,0.023
1.950173,-0.0207,-0.0010,-0.0165,0.026
1.958466,0.0033,-0.0057,0.0217,0.023
1.959574,-0.0013,0.0086,0.0120,0.015
1.964933,0.0082,0.0180,0.0119,0.023
1.969197,0.0083,0.0132,0.0023,0.016
1.974348,-0.0012,0.0035,0.0023,0.004
1.979570,0.0083,0.0083,0.0260,0.029
1.984530,-0.0203,0.0083,-0.0027,0.022
1.989440,0.0037,-0.0012,-0.0122,0.013
1.994167,0.0085,0.0084,-0.0168,0.021
1.999164,0.0084,0.0227,0.0213,0.032
2.004195,0.0131,-0.0061,-0.0026,0.015
2.009537,0.0083,0.0084,-0.0026,0.012
2.014345,0.0034,0.0131,-0.0073,0.015
2.019122,0.0081,-0.0061,0.0165,0.019
2.024127,0.0128,0.0224,0.0116,0.028
2.029349,-0.0015,-0.0062,0.0067,0.009
2.034270,-0.0157,0.0081,0.0067,0.019
2.039601,0.0176,0.0081,-0.0171,0.026
2.050348,-0.0015,0.0177,-0.0027,0.018
2.051137,0.0079,-0.0013,0.0305,0.032
2.054356,-0.0160,0.0272,-0.0172,0.036
2.059162,-0.0158,0.0176,-0.0028,0.024
2.064379,-0.0062,0.0081,-0.0028,0.011
2.069311,-0.0014,0.0272,-0.0075,0.028
2.074134,0.0130,0.0079,-0.0027,0.015
2.079363,-0.0014,0.0269,0.0163,0.031
2.084038,-0.0060,0.0315,0.0067,0.033
2.089217,-0.0059,0.0075,-0.0029,0.010
2.094145,-0.0154,0.0122,0.0304,0.036
2.099349,0.0086,0.0073,0.0207,0.024
2.103952,-0.0154,-0.0116,-0.0222,0.029
2.109495,-0.0009,-0.0114,0.0112,0.016
2.114139,-0.0197,0.0030,0.0158,0.025
2.119172,0.0090,0.0172,0.0015,0.019
2.124008,-0.0054,-0.0067,-0.0080,0.012
